iter	Passed	Remaining
0	142	141929
1	143	71548
2	144	48102
3	145	36351
4	147	29319
5	148	24621
6	149	21277
7	151	18763
8	152	16798
9	153	15240
10	155	13964
11	156	12891
12	157	11982
13	159	11203
14	160	10527
15	161	9935
16	162	9415
17	164	8954
18	165	8543
19	166	8169
20	167	7829
21	169	7525
22	170	7244
23	171	6986
24	173	6755
25	174	6538
26	176	6342
27	177	6158
28	178	5987
29	180	5829
30	181	5683
31	183	5550
32	184	5420
33	186	5293
34	187	5172
35	188	5057
36	190	4950
37	191	4849
38	192	4752
39	194	4658
40	195	4570
41	196	4492
42	198	4414
43	199	4338
44	200	4263
45	202	4192
46	203	4127
47	204	4064
48	206	4002
49	207	3941
50	208	3884
51	209	3827
52	211	3776
53	212	3727
54	214	3681
55	215	3637
56	217	3592
57	218	3549
58	220	3509
59	221	3469
60	222	3430
61	224	3393
62	225	3356
63	227	3320
64	228	3283
65	229	3248
66	230	3214
67	231	3172
68	232	3140
69	234	3110
70	235	3081
71	236	3053
72	238	3024
73	239	2996
74	240	2968
75	242	2942
76	243	2917
77	244	2895
78	246	2870
79	247	2846
80	248	2822
81	250	2799
82	251	2776
83	252	2755
84	253	2729
85	254	2708
86	255	2684
87	257	2663
88	258	2644
89	259	2625
90	260	2605
91	262	2587
92	263	2568
93	264	2551
94	266	2534
95	267	2516
96	268	2499
97	269	2482
98	271	2466
99	272	2450
100	273	2436
101	274	2415
102	275	2400
103	276	2386
104	278	2371
105	279	2357
106	280	2343
107	282	2329
108	283	2315
109	284	2301
110	285	2288
111	287	2275
112	288	2262
113	289	2249
114	290	2237
115	291	2223
116	293	2211
117	294	2201
118	295	2188
119	296	2177
120	298	2165
121	299	2154
122	300	2139
123	301	2128
124	302	2117
125	303	2107
126	305	2097
127	306	2085
128	307	2077
129	309	2068
130	310	2059
131	311	2050
132	313	2041
133	314	2031
134	315	2022
135	316	2013
136	318	2005
137	319	1994
138	320	1986
139	322	1979
140	323	1972
141	325	1964
142	326	1958
143	328	1950
144	329	1944
145	331	1936
146	332	1928
147	333	1920
148	335	1914
149	336	1907
150	338	1901
151	339	1893
152	340	1886
153	342	1880
154	343	1874
155	345	1868
156	346	1862
157	348	1856
158	349	1848
159	351	1843
160	352	1837
161	353	1830
162	355	1824
163	356	1818
164	358	1811
165	359	1805
166	360	1799
167	362	1794
168	363	1787
169	365	1782
170	366	1777
171	368	1772
172	369	1766
173	370	1760
174	372	1754
175	373	1749
176	375	1743
177	376	1738
178	377	1733
179	379	1727
180	379	1719
181	381	1713
182	382	1707
183	383	1702
184	385	1696
185	386	1691
186	387	1685
187	389	1680
188	390	1675
189	391	1670
190	393	1665
191	394	1660
192	395	1655
193	397	1650
194	398	1644
195	399	1639
196	401	1634
197	402	1629
198	403	1624
199	405	1620
200	406	1615
201	407	1610
202	409	1606
203	410	1601
204	411	1596
205	413	1592
206	414	1587
207	415	1582
208	416	1578
209	418	1573
210	419	1568
211	420	1564
212	422	1559
213	423	1554
214	424	1550
215	425	1545
216	426	1540
217	428	1535
218	429	1531
219	430	1527
220	431	1522
221	433	1517
222	434	1513
223	435	1508
224	436	1504
225	437	1500
226	439	1495
227	440	1490
228	441	1486
229	442	1482
230	443	1477
231	445	1473
232	446	1469
233	447	1465
234	448	1461
235	450	1457
236	451	1452
237	452	1448
238	453	1444
239	454	1440
240	456	1436
241	457	1432
242	458	1428
243	460	1425
244	461	1422
245	462	1418
246	463	1414
247	465	1410
248	466	1406
249	467	1403
250	468	1399
251	470	1395
252	471	1391
253	472	1388
254	474	1386
255	475	1382
256	476	1378
257	478	1375
258	479	1371
259	480	1367
260	481	1364
261	482	1360
262	484	1356
263	485	1353
264	486	1350
265	488	1347
266	489	1344
267	491	1341
268	492	1338
269	493	1334
270	494	1331
271	496	1327
272	497	1324
273	498	1320
274	499	1317
275	501	1315
276	503	1313
277	504	1310
278	506	1308
279	507	1305
280	509	1302
281	510	1300
282	511	1297
283	513	1294
284	514	1290
285	515	1287
286	517	1284
287	518	1282
288	520	1279
289	521	1276
290	522	1274
291	524	1270
292	525	1267
293	526	1264
294	527	1261
295	529	1258
296	530	1255
297	531	1252
298	532	1249
299	533	1245
300	535	1242
301	536	1239
302	537	1236
303	538	1233
304	539	1229
305	540	1226
306	542	1224
307	543	1222
308	545	1219
309	546	1216
310	547	1213
311	549	1211
312	550	1208
313	551	1205
314	553	1202
315	554	1200
316	555	1197
317	556	1194
318	558	1191
319	559	1188
320	560	1185
321	561	1183
322	563	1180
323	564	1178
324	565	1175
325	567	1172
326	568	1169
327	569	1166
328	570	1164
329	571	1161
330	573	1158
331	574	1155
332	575	1152
333	576	1150
334	577	1147
335	579	1144
336	580	1141
337	581	1139
338	582	1136
339	584	1133
340	585	1130
341	586	1128
342	587	1125
343	588	1122
344	589	1119
345	591	1117
346	592	1114
347	593	1111
348	594	1109
349	595	1106
350	596	1103
351	598	1101
352	599	1098
353	600	1095
354	601	1093
355	602	1090
356	604	1088
357	605	1085
358	606	1083
359	607	1080
360	609	1078
361	610	1075
362	611	1073
363	612	1070
364	614	1068
365	615	1065
366	616	1063
367	617	1060
368	619	1058
369	620	1056
370	621	1053
371	622	1051
372	623	1048
373	625	1046
374	626	1043
375	627	1041
376	628	1038
377	629	1036
378	630	1033
379	632	1031
380	633	1029
381	635	1028
382	636	1025
383	638	1023
384	639	1021
385	640	1019
386	642	1017
387	643	1015
388	645	1013
389	646	1011
390	648	1009
391	649	1007
392	651	1006
393	652	1003
394	654	1001
395	655	999
396	656	997
397	657	995
398	659	993
399	660	990
400	661	988
401	663	986
402	664	984
403	665	982
404	666	979
405	668	977
406	669	975
407	670	972
408	671	970
409	672	968
410	674	966
411	675	964
412	677	962
413	678	960
414	679	957
415	680	955
416	681	953
417	683	951
418	684	949
419	685	946
420	686	944
421	688	942
422	689	940
423	690	938
424	692	936
425	693	933
426	694	931
427	695	929
428	696	926
429	697	924
430	698	922
431	699	920
432	701	917
433	702	915
434	703	913
435	704	911
436	705	909
437	706	906
438	708	904
439	709	902
440	710	900
441	711	898
442	712	895
443	713	893
444	714	891
445	716	889
446	717	887
447	718	885
448	719	883
449	720	880
450	721	878
451	722	876
452	724	874
453	725	872
454	726	869
455	727	867
456	728	865
457	729	863
458	730	861
459	731	859
460	733	857
461	734	854
462	735	852
463	736	850
464	737	848
465	738	846
466	739	844
467	740	842
468	741	840
469	743	837
470	744	835
471	745	833
472	746	832
473	748	830
474	749	828
475	750	826
476	751	823
477	752	821
478	753	819
479	754	817
480	755	815
481	757	813
482	758	811
483	759	809
484	760	807
485	761	805
486	762	803
487	763	801
488	765	799
489	766	797
490	767	795
491	768	793
492	769	791
493	770	789
494	771	787
495	773	785
496	774	783
497	775	781
498	776	779
499	777	777
500	778	775
501	779	773
502	781	771
503	782	769
504	783	767
505	784	765
506	785	763
507	786	761
508	787	760
509	789	758
510	790	756
511	791	754
512	793	753
513	794	751
514	796	749
515	797	748
516	798	746
517	800	744
518	801	742
519	802	741
520	804	739
521	805	737
522	806	735
523	808	734
524	809	732
525	810	730
526	811	728
527	813	727
528	814	725
529	815	723
530	816	721
531	817	719
532	819	717
533	820	715
534	821	713
535	822	711
536	823	710
537	824	708
538	825	706
539	826	704
540	827	702
541	829	700
542	830	698
543	831	696
544	832	694
545	833	692
546	834	691
547	835	689
548	836	687
549	837	685
550	839	683
551	840	681
552	841	680
553	842	678
554	843	676
555	845	675
556	846	673
557	847	671
558	849	669
559	850	668
560	851	666
561	852	664
562	853	662
563	854	660
564	855	658
565	856	657
566	858	655
567	859	653
568	860	651
569	861	649
570	862	648
571	863	646
572	864	644
573	865	642
574	867	640
575	868	639
576	869	637
577	870	635
578	871	633
579	872	632
580	873	630
581	875	628
582	876	626
583	877	624
584	878	623
585	879	621
586	880	619
587	881	617
588	882	616
589	884	614
590	885	612
591	886	610
592	887	609
593	888	607
594	889	605
595	891	604
596	892	602
597	893	600
598	894	598
599	895	597
600	896	595
601	897	593
602	898	591
603	900	590
604	901	588
605	902	586
606	903	585
607	905	583
608	906	581
609	907	580
610	908	578
611	909	576
612	910	574
613	911	573
614	912	571
615	913	569
616	915	568
617	916	566
618	917	564
619	918	562
620	919	561
621	920	559
622	921	557
623	922	556
624	924	554
625	925	552
626	926	550
627	927	549
628	928	547
629	929	545
630	930	544
631	931	542
632	932	540
633	933	539
634	934	537
635	935	535
636	937	533
637	938	532
638	939	530
639	940	528
640	941	527
641	942	525
642	944	524
643	945	522
644	947	521
645	948	519
646	949	518
647	951	516
648	952	515
649	953	513
650	955	512
651	956	510
652	958	509
653	959	507
654	961	506
655	962	504
656	963	503
657	965	501
