iter	Passed	Remaining
0	156	156498
1	158	79219
2	160	53326
3	161	40327
4	163	32517
5	165	27342
6	166	23606
7	167	20821
8	169	18681
9	171	16943
10	172	15510
11	174	14327
12	175	13314
13	178	12586
14	180	11832
15	181	11162
16	183	10591
17	184	10072
18	186	9626
19	188	9247
20	190	8861
21	191	8516
22	193	8209
23	197	8022
24	199	7786
25	201	7534
26	202	7303
27	204	7089
28	205	6894
29	208	6752
30	211	6600
31	212	6429
32	214	6276
33	215	6131
34	217	5993
35	219	5868
36	220	5739
37	222	5620
38	223	5504
39	225	5402
40	227	5312
41	228	5210
42	229	5114
43	231	5025
44	233	4946
45	235	4878
46	237	4810
47	238	4734
48	240	4658
49	241	4584
50	242	4515
51	244	4456
52	246	4400
53	247	4338
54	249	4279
55	250	4224
56	251	4167
57	253	4115
58	254	4066
59	256	4019
60	258	3971
61	259	3924
62	260	3879
63	262	3836
64	263	3794
65	265	3754
66	266	3713
67	267	3671
68	269	3634
69	270	3598
70	272	3559
71	273	3528
72	275	3502
73	277	3473
74	278	3440
75	280	3408
76	281	3376
77	283	3351
78	285	3332
79	287	3305
80	288	3277
81	290	3248
82	291	3215
83	292	3193
84	294	3170
85	296	3154
86	298	3129
87	299	3105
88	301	3085
89	302	3063
90	304	3040
91	305	3019
92	307	2998
93	308	2977
94	310	2956
95	312	2938
96	313	2919
97	315	2903
98	317	2886
99	318	2867
100	320	2848
101	322	2835
102	323	2820
103	325	2807
104	327	2788
105	328	2769
106	330	2758
107	332	2747
108	334	2737
109	336	2722
110	337	2705
111	339	2688
112	340	2671
113	341	2656
114	343	2640
115	344	2627
116	345	2610
117	347	2595
118	348	2580
119	349	2565
120	351	2553
121	352	2540
122	354	2527
123	356	2515
124	357	2503
125	359	2490
126	360	2476
127	362	2467
128	363	2457
129	365	2446
130	367	2434
131	368	2424
132	370	2414
133	372	2404
134	373	2394
135	374	2382
136	376	2370
137	377	2360
138	379	2350
139	380	2340
140	382	2331
141	383	2319
142	386	2314
143	387	2303
144	388	2293
145	390	2283
146	392	2275
147	393	2266
148	395	2257
149	396	2247
150	398	2238
151	399	2229
152	401	2219
153	402	2211
154	404	2202
155	405	2193
156	406	2184
157	408	2175
158	409	2166
159	411	2158
160	412	2148
161	414	2142
162	415	2134
163	417	2126
164	418	2118
165	419	2110
166	421	2102
167	423	2095
168	424	2088
169	426	2080
170	427	2072
171	429	2066
172	430	2058
173	432	2052
174	434	2047
175	435	2040
176	437	2032
177	438	2024
178	439	2017
179	441	2011
180	442	2004
181	444	1997
182	445	1990
183	447	1983
184	448	1976
185	450	1969
186	451	1963
187	453	1957
188	454	1951
189	456	1944
190	457	1937
191	458	1931
192	460	1924
193	461	1918
194	463	1911
195	464	1906
196	466	1900
197	467	1893
198	469	1888
199	470	1882
200	472	1877
201	473	1871
202	475	1866
203	476	1860
204	478	1854
205	479	1848
206	481	1843
207	482	1838
208	484	1833
209	485	1827
210	487	1821
211	488	1816
212	489	1810
213	491	1805
214	493	1801
215	494	1796
216	496	1791
217	497	1785
218	499	1780
219	501	1779
220	504	1778
221	506	1774
222	507	1769
223	509	1764
224	511	1763
225	513	1759
226	515	1754
227	516	1749
228	518	1745
229	520	1742
230	522	1738
231	523	1734
232	525	1729
233	526	1724
234	528	1719
235	529	1715
236	531	1712
237	534	1709
238	535	1705
239	536	1700
240	538	1696
241	540	1691
242	541	1688
243	543	1683
244	545	1679
245	546	1675
246	548	1671
247	549	1666
248	551	1663
249	553	1659
250	554	1655
251	556	1650
252	557	1645
253	558	1640
254	560	1636
255	562	1633
256	563	1629
257	565	1625
258	566	1620
259	567	1616
260	569	1611
261	570	1607
262	572	1603
263	574	1600
264	575	1596
265	576	1591
266	578	1587
267	579	1583
268	581	1579
269	582	1575
270	584	1571
271	585	1567
272	586	1562
273	588	1558
274	589	1553
275	590	1550
276	592	1546
277	594	1542
278	595	1538
279	596	1534
280	597	1530
281	599	1525
282	600	1521
283	602	1518
284	603	1514
285	605	1510
286	606	1506
287	607	1502
288	609	1498
289	610	1495
290	612	1491
291	614	1489
292	615	1485
293	617	1481
294	618	1478
295	620	1474
296	621	1471
297	623	1469
298	625	1465
299	626	1461
300	628	1458
301	629	1454
302	630	1451
303	632	1447
304	634	1444
305	635	1441
306	636	1437
307	638	1433
308	639	1431
309	641	1428
310	643	1425
311	644	1422
312	646	1418
313	647	1414
314	648	1410
315	650	1408
316	652	1404
317	653	1401
318	654	1398
319	656	1394
320	658	1392
321	660	1390
322	661	1387
323	663	1385
324	665	1381
325	666	1378
326	668	1375
327	669	1371
328	671	1370
329	673	1368
330	675	1365
331	677	1362
332	678	1359
333	680	1356
334	681	1353
335	683	1350
336	684	1346
337	685	1343
338	687	1339
339	688	1336
340	689	1333
341	691	1330
342	692	1326
343	694	1323
344	695	1320
345	696	1316
346	697	1313
347	699	1311
348	701	1308
349	703	1305
350	704	1302
351	706	1299
352	707	1296
353	708	1293
354	710	1290
355	712	1288
356	713	1284
357	714	1281
358	716	1278
359	717	1275
360	718	1271
361	720	1269
362	721	1266
363	723	1263
364	724	1260
365	725	1257
366	727	1254
367	728	1250
368	729	1248
369	731	1245
370	733	1243
371	734	1240
372	735	1236
373	737	1233
374	738	1230
375	740	1228
376	741	1226
377	743	1223
378	744	1220
379	746	1217
380	747	1214
381	748	1211
382	750	1209
383	752	1206
384	753	1204
385	755	1201
386	756	1198
387	757	1195
388	759	1193
389	761	1190
390	762	1188
391	764	1185
392	765	1182
393	766	1179
394	768	1176
395	769	1173
396	771	1171
397	773	1169
398	774	1166
399	775	1163
400	777	1160
401	778	1157
402	780	1155
403	781	1153
404	783	1150
405	784	1147
406	785	1144
407	786	1141
408	787	1138
409	789	1135
410	790	1133
411	792	1130
412	793	1127
413	794	1124
414	796	1122
415	797	1119
416	798	1116
417	800	1113
418	801	1111
419	802	1108
420	804	1106
421	805	1103
422	806	1100
423	808	1097
424	809	1095
425	811	1093
426	812	1090
427	814	1088
428	815	1085
429	817	1083
430	819	1081
431	821	1079
432	822	1077
433	824	1075
434	825	1072
435	827	1070
436	828	1067
437	830	1065
438	832	1063
439	834	1061
440	835	1059
441	837	1057
442	839	1054
443	840	1052
444	842	1050
445	844	1048
446	845	1046
447	847	1044
448	848	1041
449	850	1039
450	852	1037
451	853	1034
452	854	1032
453	856	1029
454	857	1027
455	861	1027
456	862	1025
457	864	1022
458	865	1020
459	867	1018
460	868	1015
461	870	1014
462	872	1012
463	873	1009
464	875	1007
465	877	1005
466	879	1003
467	881	1001
468	882	999
469	884	997
470	885	995
471	887	992
472	888	990
473	890	988
474	891	985
475	893	983
476	894	980
477	895	978
478	896	975
479	898	973
480	899	970
481	901	968
482	902	966
483	904	964
484	905	961
485	907	959
486	908	957
487	910	955
488	911	953
489	913	950
490	914	948
491	916	945
492	917	943
493	919	941
494	920	939
495	922	936
496	923	934
497	924	932
498	926	930
499	927	927
500	929	925
501	930	923
502	932	921
503	933	918
504	934	916
505	936	914
506	937	911
507	939	909
508	940	907
509	941	905
510	943	902
511	944	900
512	945	897
513	946	895
514	948	893
515	949	890
516	951	888
517	952	886
518	953	883
519	954	881
520	955	878
521	956	876
522	958	873
523	959	871
524	961	869
525	962	867
526	963	864
527	964	862
528	966	860
529	967	858
530	969	856
531	970	854
532	972	851
533	973	849
534	974	847
535	976	844
536	977	842
537	978	840
538	980	838
539	981	836
540	983	834
541	984	831
542	985	829
543	986	827
544	988	825
545	989	822
546	991	820
547	992	818
548	993	816
549	995	814
550	996	812
551	998	810
552	999	808
553	1001	806
554	1003	804
555	1004	802
556	1006	800
557	1007	798
558	1009	796
559	1010	794
560	1012	792
561	1013	789
562	1014	787
563	1016	785
564	1018	784
565	1020	782
566	1021	780
567	1023	778
568	1024	776
569	1026	774
570	1027	771
571	1029	770
572	1031	768
573	1032	766
574	1033	764
575	1035	762
576	1036	759
577	1038	757
578	1039	755
579	1041	753
580	1042	751
581	1044	749
582	1045	747
583	1046	745
584	1047	743
585	1048	741
586	1050	738
587	1051	736
588	1053	734
589	1054	732
590	1055	730
591	1056	728
592	1057	725
593	1059	724
594	1060	721
595	1061	719
596	1062	717
597	1064	715
598	1065	713
599	1066	711
600	1067	708
601	1069	707
602	1070	705
603	1072	702
604	1073	700
605	1074	698
606	1075	696
607	1076	694
608	1078	692
609	1079	690
610	1081	688
611	1082	686
612	1084	684
613	1085	682
614	1087	680
615	1088	678
616	1090	676
617	1091	674
618	1093	672
619	1094	670
620	1096	669
621	1097	666
622	1098	664
623	1100	662
624	1101	660
625	1102	658
626	1103	656
627	1104	654
628	1106	652
629	1107	650
630	1108	648
631	1110	646
632	1111	644
633	1112	642
634	1113	640
635	1114	638
636	1116	635
637	1117	633
638	1118	632
639	1120	630
640	1121	628
641	1122	626
642	1124	624
643	1125	622
644	1126	619
645	1127	617
646	1128	615
647	1130	614
648	1132	612
649	1133	610
650	1134	608
651	1136	606
652	1137	604
653	1139	602
654	1140	600
655	1141	598
656	1143	596
657	1144	594
658	1145	592
659	1146	590
660	1147	588
661	1149	586
662	1151	585
663	1152	583
664	1154	581
665	1155	579
666	1157	577
667	1159	576
668	1160	574
669	1162	572
670	1163	570
671	1165	568
672	1166	566
673	1168	565
674	1170	563
675	1171	561
676	1172	559
677	1174	557
678	1175	555
679	1176	553
680	1177	551
681	1179	549
682	1180	547
683	1181	545
684	1182	543
685	1183	541
686	1185	539
687	1186	537
688	1187	535
689	1188	534
690	1190	532
691	1191	530
692	1192	528
693	1194	526
694	1195	524
695	1197	522
696	1198	520
697	1199	519
698	1201	517
699	1202	515
700	1203	513
701	1204	511
702	1205	509
703	1207	507
704	1208	505
705	1209	503
706	1211	501
707	1212	500
708	1213	498
709	1214	496
710	1215	494
711	1217	492
712	1218	490
713	1219	488
714	1220	486
715	1222	484
716	1223	482
717	1224	480
718	1225	478
719	1226	477
720	1228	475
721	1229	473
722	1230	471
723	1231	469
724	1233	467
725	1234	465
726	1235	463
727	1236	462
728	1238	460
729	1239	458
730	1240	456
731	1242	454
732	1243	452
733	1244	451
734	1246	449
735	1247	447
736	1249	445
737	1250	444
738	1252	442
739	1253	440
740	1254	438
741	1255	436
742	1257	434
743	1258	433
744	1260	431
745	1261	429
746	1262	427
747	1264	425
748	1265	424
749	1266	422
750	1267	420
751	1269	418
752	1270	416
753	1271	414
754	1273	413
755	1274	411
756	1275	409
757	1276	407
758	1278	405
759	1279	404
760	1281	402
761	1282	400
762	1283	398
763	1285	396
764	1286	395
765	1287	393
766	1289	391
767	1291	389
768	1292	388
769	1293	386
770	1295	384
771	1296	382
772	1298	381
773	1299	379
774	1300	377
775	1302	376
776	1304	374
777	1305	372
778	1306	370
779	1308	369
780	1309	367
781	1311	365
782	1312	363
783	1313	361
784	1315	360
785	1316	358
786	1317	356
787	1318	354
788	1319	352
789	1321	351
790	1322	349
791	1323	347
792	1325	345
793	1326	344
794	1327	342
795	1328	340
796	1329	338
797	1331	336
798	1332	335
799	1333	333
800	1334	331
801	1335	329
802	1337	328
803	1338	326
804	1339	324
805	1341	322
806	1342	321
807	1343	319
808	1344	317
809	1345	315
810	1347	313
811	1348	312
812	1349	310
813	1351	308
814	1352	307
815	1353	305
816	1355	303
817	1356	301
818	1357	299
819	1358	298
820	1360	296
821	1361	294
822	1362	293
823	1364	291
824	1365	289
825	1366	287
826	1367	286
827	1369	284
828	1370	282
829	1372	281
830	1373	279
831	1374	277
832	1375	275
833	1376	274
834	1378	272
835	1379	270
836	1381	269
837	1383	267
838	1384	265
839	1386	264
840	1387	262
841	1388	260
842	1390	258
843	1391	257
844	1392	255
845	1394	253
846	1395	252
847	1396	250
848	1398	248
849	1399	246
850	1401	245
851	1402	243
852	1404	241
853	1405	240
854	1406	238
855	1408	236
856	1409	235
857	1411	233
858	1412	231
859	1414	230
860	1415	228
861	1416	226
862	1418	225
863	1419	223
864	1420	221
865	1422	220
866	1423	218
867	1424	216
868	1425	214
869	1427	213
870	1428	211
871	1430	209
872	1432	208
873	1433	206
874	1434	204
875	1436	203
876	1437	201
877	1439	200
878	1441	198
879	1443	196
880	1444	195
881	1445	193
882	1447	191
883	1448	190
884	1450	188
885	1451	186
886	1453	185
887	1454	183
888	1456	181
889	1458	180
890	1459	178
891	1461	176
892	1463	175
893	1464	173
894	1466	171
895	1467	170
896	1468	168
897	1470	166
898	1471	165
899	1473	163
900	1474	162
901	1476	160
902	1477	158
903	1479	157
904	1480	155
905	1482	153
906	1484	152
907	1485	150
908	1487	148
909	1488	147
910	1490	145
911	1491	143
912	1493	142
913	1494	140
914	1496	138
915	1497	137
916	1498	135
917	1500	134
918	1501	132
919	1503	130
920	1504	129
921	1506	127
922	1507	125
923	1508	124
924	1510	122
925	1512	120
926	1513	119
927	1515	117
928	1516	115
929	1518	114
930	1519	112
931	1521	110
932	1522	109
933	1524	107
934	1525	106
935	1526	104
936	1528	102
937	1529	101
938	1531	99
939	1532	97
940	1534	96
941	1535	94
942	1537	92
943	1538	91
944	1540	89
945	1542	88
946	1543	86
947	1544	84
948	1546	83
949	1547	81
950	1548	79
951	1550	78
952	1551	76
953	1553	74
954	1554	73
955	1556	71
956	1557	69
957	1558	68
958	1560	66
959	1561	65
960	1563	63
961	1564	61
962	1566	60
963	1567	58
964	1569	56
965	1570	55
966	1572	53
967	1573	52
968	1575	50
969	1576	48
970	1577	47
971	1579	45
972	1580	43
973	1582	42
974	1583	40
975	1585	38
976	1586	37
977	1587	35
978	1589	34
979	1591	32
980	1592	30
981	1594	29
982	1595	27
983	1597	25
984	1599	24
985	1601	22
986	1603	21
987	1604	19
988	1606	17
989	1607	16
990	1609	14
991	1610	12
992	1612	11
993	1613	9
994	1615	8
995	1616	6
996	1617	4
997	1619	3
998	1620	1
999	1622	0
